id;name;address;mobile_no;whats_app;facebook;insta
1;lone exalt onset;powerfully gracefully;from;fooey;lyre surprise aha;suddenly
2;wrathful scram;aboard;beneath;boldly orient nor;costume;instantly owlishly forenenst
3;outside incidentally;hence lest transom;soupy restfully;mortise;dependent quaintly within;yippee analyse perky
4;drat far-off replacement;up hoarse while;usually well breakable;outnumber pfft patiently;beside evenly;whine
5;yowza reproachfully bathhouse;er alongside over;solemnly dampen;tightly out indeed;energetically;with solicit instead
6;notwithstanding whereas yum;ha lotion lay;below homeschool;bah accompany;because;thunderbolt round
7;hence;swordfish while;keenly brood faint;different challenge although;abaft reference;duh across when
8;before;abandoned since;whether supposing ha;during slowly eek;although;passport how thorough
9;deer accredit settler;blank;whoa;even yowza;gladly however;instead meaningfully
10;offset;apropos;wallop;phew readies;royal;but
